,출원번호,출원일,등록번호,등록일
140,16/849765,2020-04-15,11562112,2023-01-24
141,16/849892,2020-04-15,11562113,2023-01-24
142,16/352476,2019-03-13,11562227,2023-01-24
143,16/891161,2020-06-03,11562818,2023-01-24
144,17/086322,2020-10-30,11563813,2023-01-24
145,16/886560,2020-05-28,11564116,2023-01-24
146,17/949599,2022-09-21, , 
147,17/377122,2021-07-15, , 
148,17/377020,2021-07-15, , 
149,17/940435,2022-09-08, , 
150,17/377570,2021-07-16, , 
151,17/947669,2022-09-19, , 
152,17/950424,2022-09-22, , 
153,17/947009,2022-09-16, , 
154,17/812809,2022-07-15, , 
155,17/947039,2022-09-16, , 
156,17/953790,2022-09-27, , 
157,17/377152,2021-07-15, , 
158,17/784400,2020-12-07, , 
159,17/778775,2019-11-26, , 
160,17/811843,2022-07-11, , 
161,17/372251,2021-07-09,11556105,2023-01-17
162,16/327225,2017-07-04,11556118,2023-01-17
163,17/400348,2021-08-12,11556449,2023-01-17
164,16/937114,2020-07-23,11556961,2023-01-17
165,16/597794,2019-10-09,11557060,2023-01-17
166,17/132675,2020-12-23,11558306,2023-01-17
167,17/842482,2022-06-16, , 
168,17/848319,2022-06-23, , 
169,17/858152,2022-07-06, , 
170,17/859830,2022-07-07, , 
171,17/727512,2022-04-22, , 
172,17/932393,2022-09-15, , 
173,17/662750,2022-05-10, , 
174,16/696543,2019-11-26,11550310,2023-01-10
175,16/945628,2020-07-31,11550446,2023-01-10
176,17/120680,2020-12-14,11551242,2023-01-10
177,16/663672,2019-10-25,11551376,2023-01-10
178,17/463963,2021-09-01,11551407,2023-01-10
179,17/086307,2020-10-30,11551421,2023-01-10
180,17/468789,2021-09-08, , 
181,17/939622,2022-09-07, , 
182,17/772685,2019-10-30, , 
183,17/856167,2022-07-01, , 
184,17/364822,2021-06-30, , 
185,17/663264,2022-05-13, , 
186,17/898887,2022-08-30, , 
187,17/305075,2021-06-30, , 
188,17/944796,2022-09-14, , 
189,17/931529,2022-09-12, , 
